year,civilian_labor_force_reconstructed,unemployed_reconstructed,population_25_plus_reconstructed,bachelors_reconstructed,masters_reconstructed,professional_degree_reconstructed,doctorate_reconstructed
2009,3221,3221,3221,3221,3221,3221,3221
2010,3221,3221,3221,3221,3221,3221,3221
2011,0,0,3221,3221,3221,3221,3221
2012,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0
