year,median,q25,q75
2009,-0.46513603669685266,-4.1556720568685455,3.5992983920535706
2010,0.3146121884547546,-2.990971500032904,4.282974434089345
2011,-0.8390649982016883,-4.099820842837454,2.795336220092981
2012,-0.40493026650464214,-4.701708004934659,4.360712554406941
2013,0.0,-4.206332618765478,4.704822514177957
2014,-0.8163503271993009,-4.867772236038103,3.8239612969405643
2015,-1.114609896673361,-4.22775570362671,2.420623200138766
2016,-0.1427948105418536,-4.52898563165072,5.476817778371167
2017,2.1802694329638896,-5.114762095999268,11.660616672664505
2018,0.8101635861319305,-3.9875319890618073,6.683912673052248
2019,0.03189221047080724,-4.458401330655285,5.240173311993047
2020,3.36303666602302,-2.829454989665138,10.268834583650348
2021,4.354934334889509,-1.6458026227629494,11.87452559422653
2022,2.9773917310888995,-2.5079333594332875,10.223264021600794
2023,1.546144237189206,-2.749702582278326,7.2328489776805265
