county_name,population,net_individuals_per_1000
"Geary County, Kansas",35895.0,-24.34879509681014
"Bronx County, New York",1419250.0,-21.864364981504316
"Madison County, Idaho",53578.0,-21.44536936802419
"Watonwan County, Minnesota",11169.0,-19.7869101978691
"Holmes County, Mississippi",16491.0,-18.858771451094537
"Charlottesville city, Virginia",45863.0,-18.22820138237795
"Texas County, Oklahoma",20880.0,-18.15134099616858
"Manassas Park city, Virginia",16923.0,-17.313715062341192
"Queens County, New York",2330124.0,-17.269467204320456
"Tallahatchie County, Mississippi",12363.0,-16.258189759767046
"Sumter County, Florida",137536.0,38.8698231735691
"New Kent County, Virginia",24139.0,38.98255934380049
"Goochland County, Virginia",25613.0,43.298325069300745
"Brunswick County, North Carolina",145889.0,43.42342465847322
"Blanco County, Texas",12008.0,44.13724183877415
"Jasper County, South Carolina",30658.0,44.914867245091
"Kaufman County, Texas",160718.0,45.30295299841959
"Jackson County, Georgia",80640.0,47.036210317460316
"Dawson County, Georgia",28704.0,47.240802675585286
"Liberty County, Texas",97993.0,47.73810374210403
