state,input_rows,accepted_rows,retained_pct
01,1072,1005,93.75
02,16,15,93.75
04,240,225,93.75
05,1200,1125,93.75
06,928,868,93.53448275862068
08,1024,920,89.84375
09,16,15,93.75
10,48,45,93.75
11,16,15,93.75
12,1072,1005,93.75
13,2544,2385,93.75
15,80,60,75.0
16,704,647,91.9034090909091
17,1632,1530,93.75
18,1472,1380,93.75
19,1584,1485,93.75
20,1680,1544,91.9047619047619
21,1920,1800,93.75
22,1024,960,93.75
23,256,240,93.75
24,384,360,93.75
25,224,210,93.75
26,1328,1245,93.75
27,1392,1305,93.75
28,1312,1226,93.4451219512195
29,1840,1723,93.6413043478261
30,896,762,85.04464285714286
31,1488,1247,83.80376344086021
32,272,247,90.80882352941177
33,160,150,93.75
34,336,315,93.75
35,528,482,91.28787878787878
36,992,930,93.75
37,1600,1500,93.75
38,848,748,88.20754716981132
39,1408,1320,93.75
40,1232,1147,93.10064935064935
41,576,540,93.75
42,1072,1005,93.75
44,80,75,93.75
45,736,690,93.75
46,1056,934,88.4469696969697
47,1520,1425,93.75
48,4064,3724,91.63385826771653
49,464,425,91.59482758620689
50,224,210,93.75
51,2133,1979,92.78012189404595
53,624,585,93.75
54,880,825,93.75
55,1152,1080,93.75
56,368,344,93.47826086956522
