year,input_rows,accepted_rows,excluded_rows,retained_pct
2009,3108,3091.0,17.0,99.45302445302445
2010,3108,3095.0,13.0,99.58172458172459
2011,3108,3100.0,8.0,99.74259974259974
2012,3108,3097.0,11.0,99.64607464607465
2013,3108,3094.0,14.0,99.54954954954955
2014,3107,3065.0,42.0,98.64821371097521
2015,3107,3035.0,72.0,97.68265207595752
2016,3107,3059.0,48.0,98.45510138397168
2017,3107,3071.0,36.0,98.84132603797876
2018,3107,3061.0,46.0,98.51947215963952
2019,3107,3045.0,62.0,98.00450595429675
2020,3107,3053.0,54.0,98.26198905696813
2021,3107,3054.0,53.0,98.29417444480205
2022,3107,3054.0,53.0,98.29417444480205
2023,3107,3052.0,55.0,98.22980366913421
2024,3107,0.0,3107.0,0.0
