county_fips,incidentId,declaration_count,declaration_numbers
01001,2011042505,2,"1971, 3319"
01001,2017100401,2,"3394, 4349"
01001,2020030901,2,"3472, 4503"
01003,2011042505,2,"1971, 3319"
01003,2017100401,2,"3394, 4349"
01003,2020030901,2,"3472, 4503"
01003,2020091301,2,"3545, 4563"
01005,2011042505,2,"1971, 3319"
01005,2020030901,2,"3472, 4503"
01005,2020091301,2,"3545, 4563"
01007,2011042505,2,"1971, 3319"
01007,2020030901,2,"3472, 4503"
01009,2011042505,2,"1971, 3319"
01009,2020030901,2,"3472, 4503"
01011,2011042505,2,"1971, 3319"
01011,2020030901,2,"3472, 4503"
01013,2011042505,2,"1971, 3319"
01013,2020030901,2,"3472, 4503"
01013,2020091301,2,"3545, 4563"
01015,2011042505,2,"1971, 3319"
01015,2020030901,2,"3472, 4503"
01017,2011042505,2,"1971, 3319"
01017,2020030901,2,"3472, 4503"
01019,2011042505,2,"1971, 3319"
01019,2020030901,2,"3472, 4503"
01021,2011042505,2,"1971, 3319"
01021,2020030901,2,"3472, 4503"
01023,2011042505,2,"1971, 3319"
01023,2017100401,2,"3394, 4349"
01023,2020030901,2,"3472, 4503"
01025,2011042505,2,"1971, 3319"
01025,2017100401,2,"3394, 4349"
01025,2020030901,2,"3472, 4503"
01025,2020091301,2,"3545, 4563"
01027,2011042505,2,"1971, 3319"
01027,2020030901,2,"3472, 4503"
01029,2011042505,2,"1971, 3319"
01029,2020030901,2,"3472, 4503"
01031,2011042505,2,"1971, 3319"
01031,2020030901,2,"3472, 4503"
01031,2020091301,2,"3545, 4563"
01033,2011042505,2,"1971, 3319"
01033,2020030901,2,"3472, 4503"
01035,2011042505,2,"1971, 3319"
01035,2020030901,2,"3472, 4503"
01035,2020091301,2,"3545, 4563"
01037,2011042505,2,"1971, 3319"
01037,2020030901,2,"3472, 4503"
01039,2011042505,2,"1971, 3319"
01039,2020030901,2,"3472, 4503"
01039,2020091301,2,"3545, 4563"
01041,2011042505,2,"1971, 3319"
01041,2020030901,2,"3472, 4503"
01041,2020091301,2,"3545, 4563"
01043,2011042505,2,"1971, 3319"
01043,2020030901,2,"3472, 4503"
01045,2011042505,2,"1971, 3319"
01045,2018100601,2,"3407, 4406"
01045,2020030901,2,"3472, 4503"
01047,2011042505,2,"1971, 3319"
01047,2017100401,2,"3394, 4349"
01047,2020030901,2,"3472, 4503"
01049,2011042505,2,"1971, 3319"
01049,2020030901,2,"3472, 4503"
01051,2011042505,2,"1971, 3319"
01051,2020030901,2,"3472, 4503"
01053,2011042505,2,"1971, 3319"
01053,2020030901,2,"3472, 4503"
01053,2020091301,2,"3545, 4563"
01055,2011042505,2,"1971, 3319"
01055,2020030901,2,"3472, 4503"
01057,2011042505,2,"1971, 3319"
01057,2020030901,2,"3472, 4503"
01059,2011042505,2,"1971, 3319"
01059,2020030901,2,"3472, 4503"
01061,2011042505,2,"1971, 3319"
01061,2018100601,2,"3407, 4406"
01061,2020030901,2,"3472, 4503"
01061,2020091301,2,"3545, 4563"
01063,2011042505,2,"1971, 3319"
01063,2020030901,2,"3472, 4503"
01065,2011042505,2,"1971, 3319"
01065,2020030901,2,"3472, 4503"
01067,2011042505,2,"1971, 3319"
01067,2018100601,2,"3407, 4406"
01067,2020030901,2,"3472, 4503"
01069,2011042505,2,"1971, 3319"
01069,2018100601,2,"3407, 4406"
01069,2020030901,2,"3472, 4503"
01069,2020091301,2,"3545, 4563"
01071,2011042505,2,"1971, 3319"
01071,2020030901,2,"3472, 4503"
01073,2011042505,2,"1971, 3319"
01073,2020030901,2,"3472, 4503"
01075,2011042505,2,"1971, 3319"
01075,2020030901,2,"3472, 4503"
01077,2011042505,2,"1971, 3319"
01077,2020030901,2,"3472, 4503"
01079,2011042505,2,"1971, 3319"
01079,2020030901,2,"3472, 4503"
01081,2011042505,2,"1971, 3319"
01081,2020030901,2,"3472, 4503"
01083,2011042505,2,"1971, 3319"
01083,2020030901,2,"3472, 4503"
01085,2011042505,2,"1971, 3319"
01085,2020030901,2,"3472, 4503"
01087,2011042505,2,"1971, 3319"
01087,2017100401,2,"3394, 4349"
01087,2020030901,2,"3472, 4503"
01089,2011042505,2,"1971, 3319"
01089,2020030901,2,"3472, 4503"
01091,2011042505,2,"1971, 3319"
01091,2020030901,2,"3472, 4503"
01093,2011042505,2,"1971, 3319"
01093,2020030901,2,"3472, 4503"
01095,2011042505,2,"1971, 3319"
01095,2020030901,2,"3472, 4503"
01097,2011042505,2,"1971, 3319"
01097,2017100401,2,"3394, 4349"
01097,2018100601,2,"3407, 4406"
01097,2020030901,2,"3472, 4503"
01097,2020091301,2,"3545, 4563"
01099,2011042505,2,"1971, 3319"
01099,2020030901,2,"3472, 4503"
01099,2020091301,2,"3545, 4563"
01101,2011042505,2,"1971, 3319"
01101,2020030901,2,"3472, 4503"
01103,2011042505,2,"1971, 3319"
01103,2020030901,2,"3472, 4503"
01105,2011042505,2,"1971, 3319"
01105,2020030901,2,"3472, 4503"
01107,2011042505,2,"1971, 3319"
01107,2020030901,2,"3472, 4503"
01109,2011042505,2,"1971, 3319"
01109,2020030901,2,"3472, 4503"
01109,2020091301,2,"3545, 4563"
01111,2011042505,2,"1971, 3319"
01111,2020030901,2,"3472, 4503"
01113,2011042505,2,"1971, 3319"
01113,2020030901,2,"3472, 4503"
01115,2011042505,2,"1971, 3319"
01115,2020030901,2,"3472, 4503"
01117,2011042505,2,"1971, 3319"
01117,2020030901,2,"3472, 4503"
01119,2011042505,2,"1971, 3319"
01119,2020030901,2,"3472, 4503"
01121,2011042505,2,"1971, 3319"
01121,2020030901,2,"3472, 4503"
01123,2011042505,2,"1971, 3319"
01123,2020030901,2,"3472, 4503"
01125,2011042505,2,"1971, 3319"
01125,2020030901,2,"3472, 4503"
01127,2011042505,2,"1971, 3319"
01127,2020030901,2,"3472, 4503"
01129,2011042505,2,"1971, 3319"
01129,2017100401,2,"3394, 4349"
01129,2020030901,2,"3472, 4503"
01131,2011042505,2,"1971, 3319"
01131,2020030901,2,"3472, 4503"
01133,2011042505,2,"1971, 3319"
01133,2020030901,2,"3472, 4503"
02000,2018113001,2,"3410, 4413"
02000,2020030901,2,"3446, 4533"
02000,2025101101,2,"4893, 4912"
04001,2010012101,2,"1888, 3307"
04001,2020030901,7,"3442, 3460, 3478, 4524, 4525, 4529, 4582"
04003,2020030901,2,"3442, 4524"
04005,2010012101,2,"1888, 3307"
04005,2020030901,7,"3442, 3460, 3478, 4524, 4525, 4529, 4582"
04007,2020030901,2,"3442, 4524"
04007,2024071201,2,"4833, 5508"
04009,2020030901,2,"3442, 4524"
04009,2024071201,2,"4833, 5508"
04011,2020030901,2,"3442, 4524"
04012,2020030901,2,"3442, 4524"
04013,2020030901,2,"3442, 4524"
04015,2020030901,4,"3442, 3443, 4523, 4524"
04017,2010012101,2,"1888, 3307"
04017,2020030901,7,"3442, 3460, 3478, 4524, 4525, 4529, 4582"
04019,2020030901,2,"3442, 4524"
04021,2020030901,2,"3442, 4524"
04021,2024071201,2,"4833, 5508"
04023,2020030901,2,"3442, 4524"
04025,2020030901,2,"3442, 4524"
04027,2020030901,2,"3442, 4524"
05001,2019052601,2,"3414, 4441"
05001,2020030901,2,"3461, 4518"
05003,2020030901,2,"3461, 4518"
05005,2009012601,2,"1819, 3301"
05005,2020030901,2,"3461, 4518"
05007,2009012601,2,"1819, 3301"
05007,2020030901,2,"3461, 4518"
05009,2009012601,2,"1819, 3301"
05009,2020030901,2,"3461, 4518"
05011,2020030901,2,"3461, 4518"
05013,2020030901,2,"3461, 4518"
05015,2009012601,2,"1819, 3301"
05015,2020030901,2,"3461, 4518"
05017,2019052601,2,"3414, 4441"
05017,2020030901,2,"3461, 4518"
05019,2020030901,2,"3461, 4518"
05021,2009012601,2,"1819, 3301"
05021,2020030901,2,"3461, 4518"
05023,2009012601,2,"1819, 3301"
05023,2020030901,2,"3461, 4518"
05025,2020030901,2,"3461, 4518"
05027,2020030901,2,"3461, 4518"
05029,2009012601,2,"1819, 3301"
05029,2019052601,2,"3414, 4441"
05029,2020030901,2,"3461, 4518"
05031,2009012601,2,"1819, 3301"
05031,2020030901,2,"3461, 4518"
05033,2009012601,2,"1819, 3301"
05033,2019052601,2,"3414, 4441"
05033,2020030901,2,"3461, 4518"
05035,2020030901,2,"3461, 4518"
05037,2009012601,2,"1819, 3301"
05037,2020030901,2,"3461, 4518"
05039,2020030901,2,"3461, 4518"
05041,2019052601,2,"3414, 4441"
05041,2020030901,2,"3461, 4518"
05043,2020030901,2,"3461, 4518"
05045,2019052601,2,"3414, 4441"
05045,2020030901,2,"3461, 4518"
05047,2009012601,2,"1819, 3301"
05047,2019052601,2,"3414, 4441"
05047,2020030901,2,"3461, 4518"
05049,2009012601,2,"1819, 3301"
05049,2020030901,2,"3461, 4518"
05051,2020030901,2,"3461, 4518"
05053,2020030901,2,"3461, 4518"
05055,2009012601,2,"1819, 3301"
05055,2020030901,2,"3461, 4518"
05057,2020030901,2,"3461, 4518"
05059,2020030901,2,"3461, 4518"
05061,2020030901,2,"3461, 4518"
05063,2009012601,2,"1819, 3301"
05063,2020030901,2,"3461, 4518"
05065,2009012601,2,"1819, 3301"
05065,2020030901,2,"3461, 4518"
05067,2009012601,2,"1819, 3301"
05067,2020030901,2,"3461, 4518"
05069,2019052601,2,"3414, 4441"
05069,2020030901,2,"3461, 4518"
05071,2009012601,2,"1819, 3301"
05071,2019052601,2,"3414, 4441"
05071,2020030901,2,"3461, 4518"
05073,2020030901,2,"3461, 4518"
05075,2009012601,2,"1819, 3301"
05075,2020030901,2,"3461, 4518"
05077,2020030901,2,"3461, 4518"
05079,2019052601,2,"3414, 4441"
05079,2020030901,2,"3461, 4518"
05081,2020030901,2,"3461, 4518"
05083,2019052601,2,"3414, 4441"
05083,2020030901,2,"3461, 4518"
05085,2020030901,2,"3461, 4518"
05087,2009012601,2,"1819, 3301"
05087,2020030901,2,"3461, 4518"
05089,2009012601,2,"1819, 3301"
05089,2020030901,2,"3461, 4518"
05091,2020030901,2,"3461, 4518"
05093,2009012601,2,"1819, 3301"
05093,2020030901,2,"3461, 4518"
05095,2020030901,2,"3461, 4518"
05097,2020030901,2,"3461, 4518"
05099,2020030901,2,"3461, 4518"
05101,2009012601,2,"1819, 3301"
05101,2020030901,2,"3461, 4518"
05103,2020030901,2,"3461, 4518"
05105,2019052601,2,"3414, 4441"
05105,2020030901,2,"3461, 4518"
05107,2020030901,2,"3461, 4518"
05109,2020030901,2,"3461, 4518"
05111,2009012601,2,"1819, 3301"
05111,2020030901,2,"3461, 4518"
05113,2020030901,2,"3461, 4518"
05115,2009012601,2,"1819, 3301"
05115,2019052601,2,"3414, 4441"
05115,2020030901,2,"3461, 4518"
05117,2020030901,2,"3461, 4518"
05119,2019052601,2,"3414, 4441"
05119,2020030901,2,"3461, 4518"
05121,2009012601,2,"1819, 3301"
