county_fips,event_id,incidentBeginDate,incidentEndDate,incidentType,declaration_numbers,declaration_count,source_record_count,event_key_method,year
01001,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01001,incident:2017100401,2017-10-06 00:00:00+00:00,2017-10-10 00:00:00+00:00,Hurricane,3394; 4349,2,2,official_incident_id,2017
01001,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01003,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01003,incident:2017100401,2017-10-06 00:00:00+00:00,2017-10-10 00:00:00+00:00,Hurricane,3394; 4349,2,2,official_incident_id,2017
01003,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01003,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01005,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01005,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01005,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01007,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01007,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01009,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01009,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01011,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01011,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01013,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01013,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01013,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01015,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01015,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01017,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01017,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01019,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01019,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01021,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01021,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01023,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01023,incident:2017100401,2017-10-06 00:00:00+00:00,2017-10-10 00:00:00+00:00,Hurricane,3394; 4349,2,2,official_incident_id,2017
01023,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01025,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01025,incident:2017100401,2017-10-06 00:00:00+00:00,2017-10-10 00:00:00+00:00,Hurricane,3394; 4349,2,2,official_incident_id,2017
01025,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01025,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01027,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01027,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01029,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01029,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01031,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01031,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01031,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01033,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01033,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01035,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01035,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01035,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01037,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01037,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01039,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01039,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01039,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01041,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01041,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01041,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01043,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01043,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01045,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01045,incident:2018100601,2018-10-10 00:00:00+00:00,2018-10-13 00:00:00+00:00,Hurricane,3407; 4406,2,2,official_incident_id,2018
01045,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01047,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01047,incident:2017100401,2017-10-06 00:00:00+00:00,2017-10-10 00:00:00+00:00,Hurricane,3394; 4349,2,2,official_incident_id,2017
01047,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01049,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01049,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01051,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01051,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01053,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01053,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01053,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01055,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01055,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01057,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01057,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01059,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01059,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01061,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01061,incident:2018100601,2018-10-10 00:00:00+00:00,2018-10-13 00:00:00+00:00,Hurricane,3407; 4406,2,2,official_incident_id,2018
01061,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01061,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01063,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01063,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01065,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01065,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01067,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01067,incident:2018100601,2018-10-10 00:00:00+00:00,2018-10-13 00:00:00+00:00,Hurricane,3407; 4406,2,2,official_incident_id,2018
01067,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01069,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01069,incident:2018100601,2018-10-10 00:00:00+00:00,2018-10-13 00:00:00+00:00,Hurricane,3407; 4406,2,2,official_incident_id,2018
01069,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01069,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01071,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01071,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01073,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01073,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01075,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01075,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01077,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01077,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01079,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01079,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01081,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01081,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01083,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01083,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01085,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01085,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01087,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01087,incident:2017100401,2017-10-06 00:00:00+00:00,2017-10-10 00:00:00+00:00,Hurricane,3394; 4349,2,2,official_incident_id,2017
01087,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01089,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01089,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01091,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01091,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01093,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01093,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01095,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01095,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01097,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01097,incident:2017100401,2017-10-06 00:00:00+00:00,2017-10-10 00:00:00+00:00,Hurricane,3394; 4349,2,2,official_incident_id,2017
01097,incident:2018100601,2018-10-10 00:00:00+00:00,2018-10-13 00:00:00+00:00,Hurricane,3407; 4406,2,2,official_incident_id,2018
01097,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01097,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01099,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
01099,incident:2020030901,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,Biological,3472; 4503,2,2,official_incident_id,2020
01099,incident:2020091301,2020-09-14 00:00:00+00:00,2020-09-16 00:00:00+00:00,Hurricane,3545; 4563,2,2,official_incident_id,2020
01101,incident:2011042505,2011-04-15 00:00:00+00:00,2011-05-31 00:00:00+00:00,Severe Storm,1971; 3319,2,2,official_incident_id,2011
