year,annual_cpi_u,factor_to_latest_acs_year
2009,214.537,1.4621673650698948
2010,218.056,1.4385708258429029
2011,224.939,1.3945514117160653
2012,229.594,1.3662769933012189
2013,232.957,1.346553226561125
2014,236.736,1.325058292781833
2015,237.017,1.3234873447896143
2016,240.007,1.3069993791847738
2017,245.12,1.279736455613577
2018,251.107,1.249224434205339
2019,255.657,1.2269916333212076
2020,258.811,1.21203890097407
2021,270.97,1.1576521386131307
2022,292.655,1.0718730245510928
2023,304.702,1.0294943912412784
2024,313.689,1.0
